cycle number	time/s	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	
6.000000000000000E+000	6.843906746907960E+002	3.1610117E+003	1.0884256E+004	9.5753662E+003	1.4496712E+004	-4.1339531E+001
6.000000000000000E+000	6.848576544463140E+002	2.5108032E+003	1.1887207E+004	1.0567957E+004	1.5905578E+004	-4.1637714E+001
6.000000000000000E+000	6.853246590818308E+002	1.9956388E+003	1.3137867E+004	1.2173801E+004	1.7911029E+004	-4.2818783E+001
6.000000000000000E+000	6.857916793973418E+002	1.5855074E+003	1.5048029E+004	1.3039019E+004	1.9911283E+004	-4.0908714E+001
6.000000000000000E+000	6.862609360596107E+002	1.2587913E+003	1.6755514E+004	1.5679588E+004	2.2947695E+004	-4.3100101E+001
6.000000000000000E+000	6.867266861617536E+002	1.0003202E+003	1.8265768E+004	1.7077271E+004	2.5005428E+004	-4.3074013E+001
7.000000000000000E+000	8.082462648823566E+002	1.0000186E+006	5.2144867E+002	1.0752343E+003	1.1950052E+003	-6.4128342E+001
7.000000000000000E+000	8.086802652229962E+002	7.9433269E+005	6.2946100E+002	1.0613195E+003	1.2339449E+003	-5.9328121E+001
7.000000000000000E+000	8.091142847636074E+002	6.3095681E+005	7.5030182E+002	1.1079191E+003	1.3380723E+003	-5.5893467E+001
7.000000000000000E+000	8.095492776375904E+002	5.0120622E+005	8.6626892E+002	1.1949736E+003	1.4759349E+003	-5.4060623E+001
7.000000000000000E+000	8.099832735515374E+002	3.9810347E+005	1.0175836E+003	1.3284218E+003	1.6733740E+003	-5.2547546E+001
7.000000000000000E+000	8.104172693855071E+002	3.1622997E+005	1.1939375E+003	1.4625234E+003	1.8879781E+003	-5.0773365E+001
7.000000000000000E+000	8.108512603127456E+002	2.5118766E+005	1.3827236E+003	1.6226620E+003	2.1318904E+003	-4.9564594E+001
7.000000000000000E+000	8.112852786000294E+002	1.9954350E+005	1.6064844E+003	1.8098550E+003	2.4199932E+003	-4.8406731E+001
7.000000000000000E+000	8.117192769139947E+002	1.5848613E+005	1.8305442E+003	1.9167913E+003	2.6504680E+003	-4.6318462E+001
7.000000000000000E+000	8.121532658679353E+002	1.2590930E+005	2.0831892E+003	2.1806963E+003	3.0158105E+003	-4.6310017E+001
7.000000000000000E+000	8.125872830085282E+002	1.0000371E+005	2.4047085E+003	2.3256794E+003	3.3453562E+003	-4.4042866E+001
7.000000000000000E+000	8.130222732692200E+002	7.9433273E+004	2.5739851E+003	2.5176323E+003	3.6005376E+003	-4.4365891E+001
7.000000000000000E+000	8.134562712631596E+002	6.3093824E+004	3.0901333E+003	2.7184370E+003	4.1156802E+003	-4.1338581E+001
7.000000000000000E+000	8.138902729371039E+002	5.0122477E+004	3.2492649E+003	2.9011218E+003	4.3559419E+003	-4.1760227E+001
7.000000000000000E+000	8.146362663858745E+002	3.9814059E+004	3.7710603E+003	3.1859055E+003	4.9366880E+003	-4.0192131E+001
