time/s	cycle number	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	
2.482381821043353E+003	9.000000000000000E+000	1.4677664E+005	4.6252415E+001	1.1677855E+000	4.6267155E+001	-1.4463022E+000
2.482815839730640E+003	9.000000000000000E+000	1.0000371E+005	4.6798382E+001	2.8216858E+000	4.6883369E+001	-3.4504442E+000
2.483250834764593E+003	9.000000000000000E+000	6.8132047E+004	4.7267490E+001	4.4433770E+000	4.7475880E+001	-5.3703036E+000
2.483684837185225E+003	9.000000000000000E+000	4.6420355E+004	4.8324947E+001	6.3656311E+000	4.8742401E+001	-7.5041156E+000
2.484118827952509E+003	9.000000000000000E+000	3.1621139E+004	4.9543270E+001	8.6780462E+000	5.0297554E+001	-9.9351931E+000
2.484552830879780E+003	9.000000000000000E+000	2.1544684E+004	5.0972458E+001	1.1421800E+001	5.2236473E+001	-1.2630085E+001
2.484987828980462E+003	9.000000000000000E+000	1.4678594E+004	5.2874950E+001	1.4940646E+001	5.4945274E+001	-1.5778471E+001
2.485422843161126E+003	9.000000000000000E+000	1.0002226E+004	5.5341290E+001	1.9377300E+001	5.8635639E+001	-1.9297285E+001
2.485799853552337E+003	9.000000000000000E+000	6.8110674E+003	5.8141884E+001	2.5334082E+001	6.3421562E+001	-2.3544134E+001
2.486270010534732E+003	9.000000000000000E+000	4.6414854E+003	6.0960728E+001	3.3087349E+001	6.9361252E+001	-2.8491560E+001
2.486737016983578E+003	9.000000000000000E+000	3.1610117E+003	6.4596848E+001	4.3604568E+001	7.7936584E+001	-3.4020382E+001
2.487204040152428E+003	9.000000000000000E+000	2.1556899E+003	7.1122429E+001	6.3759586E+001	9.5517982E+001	-4.1875481E+001
2.487672306787979E+003	9.000000000000000E+000	1.4685898E+003	7.3342300E+001	8.0554268E+001	1.0894073E+002	-4.7683056E+001
2.488138038730125E+003	9.000000000000000E+000	1.0003202E+003	7.9012009E+001	1.1092851E+002	1.3619116E+002	-5.4538540E+001
2.790388616191602E+003	1.000000000000000E+001	1.0000186E+006	5.0699181E+001	-9.4101143E+000	5.1565079E+001	1.0514832E+001
2.790822628345544E+003	1.000000000000000E+001	6.8129269E+005	4.7719173E+001	-6.4232435E+000	4.8149532E+001	7.6662250E+000
2.791257617939526E+003	1.000000000000000E+001	4.6415716E+005	4.6398685E+001	-5.0745239E+000	4.6675354E+001	6.2415090E+000
2.791692612226907E+003	1.000000000000000E+001	3.1622997E+005	4.6301823E+001	-2.6126187E+000	4.6375473E+001	3.2295370E+000
2.792126631287480E+003	1.000000000000000E+001	2.1544686E+005	4.6292320E+001	-5.9344786E-001	4.6296124E+001	7.3446733E-001
2.792560619681462E+003	1.000000000000000E+001	1.4677664E+005	4.6493736E+001	1.2100576E+000	4.6509480E+001	-1.4908578E+000
2.792994613488700E+003	1.000000000000000E+001	1.0000371E+005	4.7043106E+001	2.8594830E+000	4.7129932E+001	-3.4784050E+000
2.793428632869356E+003	1.000000000000000E+001	6.8132047E+004	4.7778019E+001	4.5012784E+000	4.7989590E+001	-5.3820825E+000
2.793862623263296E+003	1.000000000000000E+001	4.6420355E+004	4.8667679E+001	6.3416934E+000	4.9079121E+001	-7.4241562E+000
2.794296624137234E+003	1.000000000000000E+001	3.1621139E+004	4.9747696E+001	8.6077757E+000	5.0486900E+001	-9.8166142E+000
